"customer_unique_id","customer_status"
"0000f46a3911fa3c0805444483337064","Churned"
"0000f6ccb0745a6a4b88665a16c9f078","Churned"
"0004aac84e0df4da2b147fca70cf8255","Churned"
"0005e1862207bf6ccc02e4228effd9a0","Churned"
"0006fdc98a402fceb4eb0ee528f6a8d4","Churned"
"00082cbe03e478190aadbea78542e933","Churned"
"000a5ad9c4601d2bbdd9ed765d5213b3","Churned"
"000bfa1d2f1a41876493be685390d6d3","Churned"
"000c8bdb58a29e7115cfc257230fb21b","Churned"
"000de6019bb59f34c099a907c151d855","Churned"
"0010a452c6d13139e50b57f19f52e04e","Churned"
"001147e649a7b1afd577e873841632dd","Churned"
"00115fc7123b5310cf6d3a3aa932699e","Churned"
"0011805441c0d1b68b48002f1d005526","Churned"
"0011857aff0e5871ce5eb429f21cdaf5","Churned"
"0011c98589159d6149979563c504cb21","Churned"
"0012929d977a8d7280bb277c1e5f589d","Churned"
"00191a9719ef48ebb5860b130347bf33","Churned"
"001926cef41060fae572e2e7b30bd2a4","Churned"
"001a2bf0e46c684031af91fb2bce149d","Churned"
"001ae5a1788703d64536c30362503e49","Churned"
"001f3c4211216384d5fe59b041ce1461","Churned"
"002043098f10ba39a4600b6c52fbfe3c","Churned"
"0028a7d8db7b0247652509358ad8d755","Churned"
"00293787e2aec37a9c253b63fdfe2049","Churned"
"002ae492472e45ad6ebeb7a625409392","Churned"
"002b4cd83fabaffaa475f78ea5ef3e08","Churned"
"002bdeb33da5b1b3ce8b9c822f749c82","Churned"
"002cdf87d4c03f08f7eb4551a923affc","Churned"
"002d71b244beb91ca7030b15ab526446","Churned"
"002eb8b96288f3804e21d2777ac29895","Churned"
"002feefec5af0a3b26ee7839c66d205e","Churned"
"003035f5ec76f2220098377482de93c9","Churned"
"00324c9f4d710e7bac5c5ba679714430","Churned"
"0036a074f98b80c4f1fc33dbbcf9c552","Churned"
"0036b4a3d09ad551a5188c2e374da402","Churned"
"00377a18050b898b93e2c774be9947db","Churned"
"0037d2bbb9ebc39d9114aea27ee16d72","Churned"
"0037eb1ff742ee2e71ba887f65f3c6f3","Churned"
"003d56767e53e08671de00da3fba8d40","Churned"
"003e28cb6fab8a0901bff9229612375f","Churned"
"003f4901fdb60ae9c1e2538b84c208e1","Churned"
"004177f7bf62929186b32c7fdaa6157b","Churned"
"0042dcca0ae57aaec6e808edc31a2d48","Churned"
"0043d65f8039b4a4d43bc7b0f450ac2c","Churned"
"00444f48f6c9b55657e49435ce3a97ca","Churned"
"00446a03d7a34d191507c9e42870d0a5","Churned"
"0046311f458d8041b00063cb99482903","Churned"
"0047f3e16441284d757a8963344f6c59","Churned"
"0049a16516d38fc2246696172a257f16","Churned"
"0049dadc30da6a277c1e9d371df5a66f","Churned"
"0049db44bfd6cee26ac9c649329ff6ea","Churned"
"004a432489f6630c6dfd3fc4454603f5","Churned"
"004ed862ea4e55f18868d3d782d10879","Churned"
"00522457bba00bba576a34fd9b4808fd","Churned"
"00543330561a9088f8b3879114a7b008","Churned"
"0055b522bc89cbfbf376d8b59a628470","Churned"
"00575b2023dedcc0f3e81a938834689b","Churned"
"0059acd36094bf670ec8b21be6c0044c","Churned"
"005e32bc930906dc6b65fb9d11cce3e2","Churned"
"005ee3e015ec18092d7782e507cf68fe","Churned"
"005f4b46e70bbd3295a38e2fd28d6566","Churned"
"005ff4ebe100db3eebbe6f7b19a8f99a","Churned"
"006031108b00e5f73b2426a50b50f9c0","Churned"
"0065f6fb341f013a95a8e11cdc98d07a","Churned"
"0066b328e72fd82fd7420bf849c0e8b4","Churned"
"006a8c1784d622ebe06bab57e72ee045","Churned"
"006ab6f5e82340e927757563a9fbe7e4","Churned"
"006d763076d74d16d66e828e79ec1544","Churned"
"006e937bd5a5e32043018a6d1521b5d5","Churned"
"006ec5b170182812131c7d9b219c036f","Churned"
"00704e915ae0d4a236eace0267454cf9","Churned"
"00765d375af0e700f61c57db00a8ee63","Churned"
"0076a71311bb2386a353f5ba87d2aa29","Churned"
"00776f3807b128beca64cd0b27138d92","Churned"
"0078bb0f0d23e922d08437b7d0e13907","Churned"
"007953b3182d5ccc9189a694f5c68163","Churned"
"0079b50e9f77c1148b472818f92eaebc","Churned"
"0079b7407a428543a7f178cc09164035","Churned"
"007ad549acb91673f04eac22c0568114","Churned"
"00842c7d0cedb9e1edad8e9b7d148f09","Churned"
"008778a1591d49f6b2464dffaa4fa662","Churned"
"0087eede471173af78d789df249c3a45","Churned"
"008d17333e414049279c7822dfd5f019","Churned"
"008f3d5f45a11059239a5c452cd00006","Churned"
"008fb2ecc75561d202dd4db2e0ceec25","Churned"
"009000746b4fc73fe77ecc396fdb78d2","Churned"
"009062f98089a091615b5c9faa13de26","Churned"
"009210a1646725341917560a13f7799f","Churned"
"009301957bc7714394865c44650d8060","Churned"
"0093aeb87eca387dd153f965aa10c060","Churned"
"0093c499f4f9c0e169ead490aa62ce3e","Churned"
"0093dbe7f479386a92095026decf825d","Churned"
"00941614a654458b888b8780815bd26c","Churned"
"009671b5dc80cdf32aeb5850868ba81c","Churned"
"0096c18412349537abc45e350581cbbc","Churned"
"0096c9cb600a08e601f7c2be6734531a","Churned"
"00970787f181925ba33bd32b3817f742","Churned"
"0097c1e3f3c2fed7a7d8cf30be1a33df","Churned"
"00986cafefb6e670cceca01694bda599","Churned"
"0098f4847541cc7d676f9a5efc64c0f0","Churned"
"009e70fcdd4ea3769c73210414e73c64","Churned"
"00a1c6913daeda0b7f9b79f802805fdb","Churned"
"00a1e8f160b36ccdcbca310933f12a3b","Churned"
"00a218ea82c458456098caa1c4a7e796","Churned"
"00a6ee75a90222405df9d8d59babc513","Churned"
"00a78b45ea275348c1a8081bef9ab61b","Churned"
"00a7d14cb10e11b7f7d65120a7e3942f","Churned"
"00ab8b4d83051d5a41842abe7ff473fc","Churned"
"00aba8ca6b7a455bcde671692a3f9e51","Churned"
"00ac9cd5c4ad19e16e7c6f6864711737","Churned"
"00ad5165112e0e9a91a23b1132716584","Churned"
"00adeda9b742746c0c66e10d00ea1b74","Churned"
"00ae9ea276a5a4335382c9391059ddf2","Churned"
"00b0595d2b0f0b838edb7fbc749ea644","Churned"
"00b0d21952ae29dfe79db614512a27c2","Churned"
"00b1d2492b4127598629f19a22a32be8","Churned"
"00b309d0151d92709de70e43d662711b","Churned"
"00b5ba65365dad1d25811bf5e45fc983","Churned"
"00b72937dcd829c0d8ca72ec77cd073c","Churned"
"00ba737b18a7996f68cb8a99556bedd4","Churned"
"00bbfe2f540d0cfccbb098d92c503eca","Churned"
"00bd169997f142571c113645554663d6","Churned"
"00be1845d956d40218db17093f667764","Churned"
"00bee19e1199bc5cede1c674177b9e22","Churned"
"00bfe974afd63b30ed282dc69892fb98","Churned"
"00c003ed13c76042b78d53fbc26930d0","Churned"
"00c0bbc49a530c07c110d269211da046","Churned"
"00c19498681c665889d1212be870e8df","Churned"
"00c31de6420048cb3f668c99153debf7","Churned"
"00c3624c55261d9ce593f30e3815a880","Churned"
"00c3c74b09b2022ac2c0f43bb09797b4","Churned"
"00c4592dfbfe06775ab582d7a2b8dddf","Churned"
"00c4d93157cffc73cb2459f52b89cee4","Churned"
"00c916ff33b521444787ac76ac6b029d","Churned"
"00cc12a6d8b578b8ebd21ea4e2ae8b27","Churned"
"00cc2d4fcb3a1864b4f900741915aa85","Churned"
"00cc7c54469f4177319d6bb12e883652","Churned"
"00cc8551c0621bc65a440e836bb652d7","Churned"
"00cd767526517f8a4fc27db6cc5a52fa","Churned"
"00d03b5e33f8987549c5590313a4ef21","Churned"
"00d474cea9ceb88b7175d564b081dfa3","Churned"
"00d7e54ab8c5d9916f19209dbaacbb3d","Churned"
"00d8411c0f5ee4e0a9b8900ea483680e","Churned"
"00db525fd8d4023dc446f0ed2519139f","Churned"
"00dba3af1366ca8114a40bc83021f5e9","Churned"
"00dd4390a8e8ad7a126e8331decc49ce","Churned"
"00df9d2e50424d103ca8796e4dc7c207","Churned"
"00dfebc9135c7228dbb2239afc214bb5","Churned"
"00e04d8e3aaa5ffab327612642ab4564","Churned"
"00e2972a013072289c3e86cfc2b9e38d","Churned"
"00e57919b893c89f4d9eee8d06c41f6f","Churned"
"00e5dfd6ee7406a69b74c72795e6f354","Churned"
"00e5ea6932dffb682bd3d5760e84d176","Churned"
"00e67cd18afc92ef0196eb8cdf31fde0","Churned"
"00e707efa5ad9f0e6bcaeeb87910693b","Churned"
"00eba9372ced7769c4b9f234923d73cc","Churned"
"00ec23a308504080697e5204d3dbcb2c","Churned"
"00ec5df43edcae768361caa707fded3e","Churned"
"00eca7e1c994897d0a31bf75478f4b55","Churned"
"00ecc71175078e2cac5547a5656e9622","Churned"
"00fb9cc86736fe3782dbc828a2eea4a6","Churned"
"0101da21926315ddd81d190e0ec40440","Churned"
"01020c5b6024bc1cf2a3228e566bafb2","Churned"
"01029c2615eacab8d39f0450e6b0bef3","Churned"
"0103751df12aea8b962cfbcd2b61104c","Churned"
"0104d8ef04b9df2891e69bc0e2e6dca4","Churned"
"010513009a288e24dbbc8183d5bcd4e2","Churned"
"01051cf3719a23faec8b2307b369faeb","Churned"
"0105f445969ca7b8fa2e354bec7a95bd","Churned"
"0106cb3b85affbb1c765eef0eac01485","Churned"
"010a81611c87c7e19c18f303e39973b2","Churned"
"010bcf93b3363ccf249034e7250266f0","Churned"
"010d09c16c5fee11226ca7c5492892de","Churned"
"010d3cb666c64c115a144d3e6fcbd1d8","Churned"
"011509f63f565e822767bfb89c3cf9b7","Churned"
"0116dc6ddf277eb8413a0393cca11c32","Churned"
"0116f610fa1418cda75e0d96e1639a03","Churned"
"011702c19fd5dec0000a8dbbb5b98809","Churned"
"011735b41c89ca1e075296f4ecb01a27","Churned"
"011875f0176909c5cf0b14a9138bb691","Churned"
"011a18cf4e0e74bac46678dd843e3461","Churned"
"011c3e6b4b11fa8a326a39e78deb6e66","Churned"
"011d6505c026d200e75cb0b6c47da758","Churned"
"011fd4914a2d19b2a0e50c29cea5c6a2","Churned"
"01202da9afa875bce3de24c92b764099","Churned"
"0121107a0cebf91b6af74f8a4ab3c4d9","Churned"
"012216caf4f1082ba3fc02e584de9a29","Churned"
"0122d73327d9135f8088572c7d7f5d54","Churned"
"0124721bc33e0aa6772b42d4ccfd01db","Churned"
"012510db7f0db8481f8a3708400c8db9","Churned"
"01290b6163d2a02514a54df49221a668","Churned"
"012b8001e47392df808a454083a74b74","Churned"
"012c61cc2c69b09c85071ccac0ccee16","Churned"
"012e12f54f6e73b1faba89a119dab849","Churned"
"0130be8e6677174b8184114f98c16b3c","Churned"
"013341d7f8accddf42fc02f001ad341d","Churned"
"013523c76f4749da72a9ccc4a67cb234","Churned"
